JobID,JobTitle,MinSalary,MaxSalary
1,Software Engineer,60000,120000
2,Data Analyst,50000,90000
3,HR Manager,55000,100000
4,Marketing Specialist,45000,85000
5,Sales Executive,40000,95000
6,Finance Analyst,55000,110000
7,Operations Manager,60000,120000
8,Project Manager,65000,125000
9,Customer Support Representative,35000,60000
10,Network Administrator,55000,95000
11,IT Support Specialist,40000,75000
12,UX Designer,60000,110000
13,Database Administrator,60000,115000
14,Business Analyst,50000,95000
15,Content Writer,40000,70000
16,Digital Marketing Manager,60000,115000
17,QA Tester,45000,85000
18,System Administrator,55000,100000
19,Cloud Engineer,65000,120000
20,Product Manager,70000,130000
21,Logistics Coordinator,40000,75000
22,Procurement Specialist,45000,85000
23,Legal Counsel,70000,140000
24,Executive Assistant,40000,70000
25,Research Scientist,65000,125000
26,Training Specialist,45000,85000
27,Account Manager,50000,95000
28,HR Coordinator,40000,75000
29,Data Engineer,65000,120000
30,DevOps Engineer,70000,125000
31,Security Analyst,60000,115000
32,Systems Analyst,55000,100000
33,Frontend Developer,60000,110000
34,Backend Developer,65000,120000
35,Full Stack Developer,70000,130000
36,Marketing Coordinator,45000,85000
37,Social Media Specialist,40000,75000
38,Email Marketing Specialist,45000,80000
39,Brand Manager,65000,120000
40,Financial Controller,70000,140000
41,Accountant,50000,90000
42,Tax Specialist,55000,100000
43,Investment Analyst,65000,120000
44,Risk Manager,70000,135000
45,Compliance Officer,60000,115000
46,Customer Experience Manager,60000,110000
47,Operations Analyst,50000,95000
48,Supply Chain Manager,65000,120000
49,Technical Project Manager,70000,130000
50,Research Analyst,50000,95000
51,Technical Support Engineer,40000,75000
52,Cloud Solutions Architect,70000,135000
53,Solutions Engineer,65000,125000
54,Marketing Analyst,45000,85000
55,HR Business Partner,60000,110000
56,Product Designer,65000,120000
57,Creative Director,80000,150000
58,SEO Specialist,45000,85000
59,Content Strategist,50000,95000
60,Account Executive,50000,100000
61,Finance Manager,70000,135000
62,Payroll Specialist,45000,85000
63,Compensation Analyst,50000,95000
64,HR Generalist,45000,85000
65,Business Development Manager,65000,120000
66,Operations Coordinator,40000,75000
67,IT Manager,75000,140000
68,Infrastructure Engineer,65000,120000
69,Security Engineer,70000,130000
70,Systems Engineer,65000,120000
71,Database Developer,60000,115000
72,Frontend Engineer,60000,115000
73,Backend Engineer,65000,120000
74,Full Stack Engineer,70000,130000
75,Data Scientist,70000,135000
76,Machine Learning Engineer,75000,140000
77,AI Engineer,75000,140000
78,Project Coordinator,45000,85000
79,Program Manager,70000,130000
80,Technical Program Manager,75000,135000
81,Software Architect,80000,150000
82,Solutions Architect,75000,140000
83,Enterprise Architect,85000,155000
84,Business Systems Analyst,55000,100000
85,Product Owner,70000,135000
86,Scrum Master,65000,120000
87,QA Engineer,50000,95000
88,Test Automation Engineer,60000,110000
89,Technical Writer,45000,85000
90,Marketing Manager,65000,120000
91,Social Media Manager,50000,95000
92,PR Specialist,45000,85000
93,Brand Strategist,60000,115000
94,Finance Director,90000,160000
95,Controller,70000,135000
96,Tax Manager,65000,120000
97,Investment Manager,80000,150000
98,Risk Analyst,60000,115000
99,Compliance Manager,70000,135000
100,Customer Experience Specialist,50000,95000
101,Supply Chain Analyst,50000,95000
102,Logistics Manager,65000,120000
103,Procurement Manager,70000,130000
104,Warehouse Supervisor,45000,85000
105,Inventory Manager,55000,100000
106,Operations Analyst,50000,95000
107,Operations Supervisor,60000,115000
108,Production Manager,65000,120000
109,Manufacturing Engineer,60000,115000
110,Industrial Engineer,65000,120000
111,Quality Assurance Analyst,50000,95000
112,QA Lead,60000,115000
113,Compliance Specialist,55000,105000
114,Regulatory Affairs Specialist,60000,115000
115,Safety Officer,50000,95000
116,Environmental Health Specialist,55000,100000
117,Training Manager,60000,115000
118,Learning & Development Specialist,50000,95000
119,HR Assistant,40000,75000
120,Talent Acquisition Specialist,50000,95000
121,Recruitment Manager,60000,115000
122,Employee Relations Specialist,50000,95000
123,Compensation & Benefits Analyst,55000,105000
124,Payroll Manager,60000,115000
125,Finance Assistant,40000,75000
126,Accounts Payable Specialist,45000,85000
127,Accounts Receivable Specialist,45000,85000
128,Budget Analyst,55000,100000
129,Financial Analyst,60000,115000
130,Investment Analyst,65000,120000
131,Tax Analyst,55000,105000
132,Accountant,50000,95000
133,Senior Accountant,60000,115000
134,Controller,75000,140000
135,Finance Director,90000,160000
136,Business Analyst,55000,100000
137,Data Analyst,50000,95000
138,Senior Data Analyst,65000,120000
139,Data Scientist,70000,135000
140,Machine Learning Engineer,75000,140000
141,AI Engineer,75000,140000
142,Cloud Engineer,70000,130000
143,DevOps Engineer,70000,125000
144,Systems Engineer,65000,120000
145,Network Engineer,60000,115000
146,Network Administrator,55000,100000
147,IT Support Specialist,40000,75000
148,Security Analyst,60000,115000
149,Security Engineer,70000,130000
150,Cybersecurity Specialist,65000,120000
151,Project Coordinator,45000,85000
152,Project Manager,65000,125000
153,Program Manager,70000,130000
154,Technical Project Manager,75000,135000
155,Product Manager,70000,135000
156,Product Owner,70000,135000
157,Scrum Master,65000,120000
158,Agile Coach,80000,150000
159,Software Architect,80000,150000
160,Solutions Architect,75000,140000
161,Enterprise Architect,85000,155000
162,Technical Lead,75000,135000
163,Lead Developer,75000,135000
164,Senior Software Engineer,70000,130000
165,Software Engineer,60000,120000
166,Frontend Developer,60000,115000
167,Backend Developer,65000,120000
168,Full Stack Developer,70000,130000
169,Mobile Developer,65000,120000
170,Web Developer,60000,115000
171,Database Administrator,60000,115000
172,Database Developer,60000,115000
173,Data Engineer,65000,120000
174,Data Scientist,70000,135000
175,Machine Learning Engineer,75000,140000
176,AI Engineer,75000,140000
177,Cloud Engineer,70000,130000
178,DevOps Engineer,70000,125000
179,Systems Engineer,65000,120000
180,Network Engineer,60000,115000
181,Network Administrator,55000,100000
182,IT Support Specialist,40000,75000
183,Security Analyst,60000,115000
184,Security Engineer,70000,130000
185,Cybersecurity Specialist,65000,120000
186,Cloud Solutions Architect,70000,135000
187,Solutions Engineer,65000,125000
188,Technical Support Engineer,40000,75000
189,QA Engineer,50000,95000
190,Test Automation Engineer,60000,110000
191,QA Lead,60000,115000
192,Technical Writer,45000,85000
193,Marketing Manager,65000,120000
194,Social Media Manager,50000,95000
195,PR Specialist,45000,85000
196,Brand Strategist,60000,115000
197,Digital Marketing Specialist,50000,95000
198,Content Writer,40000,70000
199,SEO Specialist,45000,85000
200,Email Marketing Specialist,45000,80000
201,Brand Manager,65000,120000
202,Marketing Analyst,45000,85000
203,Marketing Coordinator,45000,85000
204,PR Manager,60000,115000
205,Digital Marketing Manager,65000,120000
206,Sales Manager,65000,130000
207,Account Manager,50000,95000
208,Account Executive,50000,100000
209,Sales Executive,40000,95000
210,Business Development Manager,65000,120000
211,Customer Success Manager,60000,115000
212,Customer Support Representative,35000,60000
213,Customer Support Specialist,40000,70000
214,Customer Experience Manager,60000,110000
215,Technical Support Specialist,40000,75000
216,Training Manager,60000,115000
217,Learning & Development Specialist,50000,95000
218,HR Manager,55000,100000
219,HR Coordinator,40000,75000
220,HR Business Partner,60000,110000
221,Talent Acquisition Specialist,50000,95000
222,Recruitment Manager,60000,115000
223,Compensation & Benefits Analyst,55000,105000
224,Payroll Specialist,45000,85000
225,Accountant,50000,95000
226,Senior Accountant,60000,115000
227,Finance Manager,70000,135000
228,Financial Controller,70000,140000
229,Finance Director,90000,160000
230,Tax Specialist,55000,100000
231,Tax Manager,65000,120000
232,Investment Analyst,65000,120000
233,Investment Manager,80000,150000
234,Risk Analyst,60000,115000
235,Risk Manager,70000,135000
236,Compliance Officer,60000,115000
237,Compliance Manager,70000,135000
238,Operations Manager,60000,120000
239,Operations Analyst,50000,95000
240,Operations Coordinator,40000,75000
241,Supply Chain Manager,65000,120000
242,Logistics Coordinator,40000,75000
243,Procurement Specialist,45000,85000
244,Procurement Manager,70000,130000
