SalaryID,EmployeeID,SalaryAmount,FromDate,ToDate
1,1,48000,2019-03-15,2021-03-14
2,2,52000,2018-07-01,2020-06-30
3,3,75000,2020-01-10,NULL
4,4,42000,2017-09-05,2019-09-04
5,5,68000,2019-11-20,NULL
6,6,55000,2018-02-01,2020-01-31
7,7,90000,2021-04-12,NULL
8,8,47000,2016-06-18,2018-06-17
9,9,61000,2019-08-01,NULL
10,10,83000,2020-03-25,NULL
11,11,39000,2017-01-01,2018-12-31
12,12,72000,2019-05-14,NULL
13,13,56000,2018-10-01,2020-09-30
14,14,98000,2022-01-10,NULL
15,15,45000,2016-11-21,2018-11-20
16,16,62000,2019-02-15,NULL
17,17,58000,2018-04-09,2020-04-08
18,18,105000,2021-09-01,NULL
19,19,47000,2017-07-07,2019-07-06
20,20,64000,2020-10-10,NULL
21,21,52000,2018-03-12,2020-03-11
22,22,88000,2021-05-20,NULL
23,23,45000,2016-08-01,2018-07-31
24,24,69000,2019-12-01,NULL
25,25,72000,2020-06-15,NULL
26,26,50000,2017-04-01,2019-03-31
27,27,95000,2022-02-01,NULL
28,28,41000,2016-01-15,2017-12-31
29,29,66000,2019-09-09,NULL
30,30,78000,2020-07-07,NULL
31,31,43000,2017-02-20,2019-02-19
32,32,71000,2019-11-11,NULL
33,33,56000,2018-05-05,2020-05-04
34,34,99000,2022-03-01,NULL
35,35,46000,2016-10-10,2018-10-09
36,36,63000,2019-06-01,NULL
37,37,54000,2018-08-18,2020-08-17
38,38,110000,2021-12-01,NULL
39,39,48000,2017-03-03,2019-03-02
40,40,67000,2020-09-15,NULL
41,41,51000,2018-01-01,2019-12-31
42,42,92000,2022-05-01,NULL
43,43,45000,2016-07-07,2018-07-06
44,44,70000,2019-04-01,NULL
45,45,76000,2020-08-08,NULL
46,46,52000,2017-05-01,2019-04-30
47,47,97000,2022-01-01,NULL
48,48,43000,2016-09-09,2018-09-08
49,49,65000,2019-10-10,NULL
50,50,81000,2021-03-03,NULL
51,1,52000,2021-03-15,NULL
52,2,56000,2020-07-01,NULL
53,4,47000,2019-09-05,2022-09-04
54,6,60000,2020-02-01,NULL
55,8,52000,2018-06-18,2021-06-17
56,11,43000,2019-01-01,NULL
57,13,61000,2020-10-01,NULL
58,15,50000,2018-11-21,2021-11-20
59,17,63000,2020-04-09,NULL
60,19,52000,2019-07-07,2022-07-06
61,21,57000,2020-03-12,NULL
62,23,49000,2018-08-01,2021-07-31
63,26,55000,2019-04-01,NULL
64,28,45000,2018-01-01,2020-12-31
65,31,48000,2019-02-20,NULL
66,33,61000,2020-05-05,NULL
67,35,51000,2018-10-10,2021-10-09
68,37,59000,2020-08-18,NULL
69,39,53000,2019-03-03,2022-03-02
70,41,56000,2020-01-01,NULL
